Date,Open,High,Low,Close,Adj Close,Volume
2013-11-11,240.500000,243.500000,239.850006,240.475006,212.450439,620362
2013-11-12,241.050003,244.750000,239.500000,241.000000,212.914276,1041060
2013-11-13,241.949997,243.425003,240.000000,240.925003,212.847992,411476
2013-11-14,241.550003,245.000000,240.324997,242.449997,214.195267,962636
2013-11-18,242.449997,248.725006,242.449997,245.899994,217.243225,464776
2013-11-19,246.500000,247.500000,243.500000,244.000000,215.564667,464730
2013-11-20,244.000000,246.750000,240.500000,241.675003,213.510574,536330
2013-11-21,240.550003,243.425003,238.050003,239.274994,211.390289,247486
2013-11-22,240.100006,241.500000,238.550003,238.975006,211.125229,303882
2013-11-25,239.500000,241.600006,238.800003,239.449997,211.544891,361686
2013-11-26,239.500000,239.500000,235.574997,237.475006,209.800049,794616
2013-11-27,237.250000,237.475006,232.699997,234.949997,207.569321,531688
2013-11-28,235.000000,237.375000,235.000000,236.425003,208.872437,742662
2013-11-29,236.949997,237.850006,235.125000,235.475006,208.033157,397248
2013-12-02,235.500000,241.800003,233.475006,240.750000,212.693405,225776
2013-12-03,241.774994,243.100006,240.750000,241.100006,213.002625,505364
2013-12-04,241.000000,247.225006,239.675003,245.800003,217.154877,347062
2013-12-05,247.250000,249.500000,243.250000,246.250000,217.552444,235752
2013-12-06,246.000000,248.750000,243.149994,246.675003,217.927933,148346
2013-12-09,249.500000,254.500000,245.149994,253.574997,224.023804,418010
2013-12-10,252.000000,261.000000,252.000000,258.250000,228.153976,562654
2013-12-11,257.750000,260.500000,255.024994,259.125000,228.926987,1048832
2013-12-12,259.000000,259.000000,254.250000,255.324997,225.569839,179700
2013-12-13,254.000000,260.000000,253.500000,259.475006,229.236206,210234
2013-12-16,259.000000,263.250000,257.750000,262.100006,231.555298,328476
2013-12-17,262.500000,265.000000,257.825012,259.000000,228.816559,225792
2013-12-18,257.500000,262.024994,256.799988,261.200012,230.760223,169642
2013-12-19,262.299988,268.975006,259.274994,264.950012,234.073227,599634
2013-12-20,267.250000,276.000000,265.500000,274.475006,242.488159,581606
2013-12-23,274.000000,278.500000,272.549988,275.950012,243.791245,345726
2013-12-24,275.500000,277.049988,269.500000,270.149994,238.667160,200390
2013-12-26,270.149994,275.500000,268.500000,273.825012,241.913864,251382
2013-12-27,275.000000,279.000000,274.000000,277.700012,245.337326,300242
2013-12-30,278.075012,278.950012,273.174988,276.049988,243.879593,190664
2013-12-31,276.500000,280.625000,274.799988,279.524994,246.949615,169480
2014-01-01,280.899994,281.049988,275.450012,276.375000,244.166733,137038
2014-01-02,276.500000,278.350006,273.000000,276.450012,244.232971,199356
2014-01-03,275.200012,279.475006,273.750000,278.575012,246.110336,188892
2014-01-06,279.200012,282.200012,277.524994,279.024994,246.507889,357598
2014-01-07,279.350006,279.350006,273.375000,274.975006,242.929871,200262
2014-01-08,275.100006,275.600006,272.000000,273.149994,241.317596,252270
2014-01-09,273.500000,276.524994,268.649994,270.375000,238.865967,239242
2014-01-10,271.549988,278.325012,266.000000,277.274994,244.961807,586824
2014-01-13,277.500000,283.725006,277.500000,280.725006,248.009811,648670
2014-01-14,281.250000,281.500000,275.000000,276.350006,244.144653,202620
2014-01-15,277.500000,281.725006,276.100006,280.049988,247.413437,158960
2014-01-16,280.500000,286.450012,278.500000,285.200012,251.963287,313306
2014-01-17,287.450012,287.674988,274.750000,276.225006,244.034210,589926
2014-01-20,276.299988,288.875000,276.299988,286.649994,253.244293,733224
